signup_date,country,plan_type,monthly_revenue,active_users,logins_last_30_days,churned,referral_source,support_tickets,year,month,day
2023-04-12,Germany,Premium,100,7,6,No,Direct,2,2023,Apr,12
2022-10-13,United states,Basic,50,2,7,No,Google Ads,1,2022,Oct,13
2022-04-08,United states,Basic,50,2,6,No,Google Ads,1,2022,Apr,8
2022-07-23,Nigeria,Basic,50,3,14,No,LinkedIn,4,2022,Jul,23
2023-06-28,Canada,Basic,50,1,9,No,Twitter,2,2023,Jun,28
2024-12-22,United kingdom,Basic,50,3,10,No,LinkedIn,3,2024,Dec,22
2023-07-05,Nigeria,Basic,50,4,15,No,Direct,2,2023,Jul,5
2023-09-20,Canada,Basic,50,2,6,No,Direct,3,2023,Sep,20
2020-04-19,Germany,Free,0,1,11,No,Direct,0,2020,Apr,19
2020-02-25,United states,Free,0,4,5,No,Facebook,2,2020,Feb,25
2022-06-30,United states,Free,0,2,5,Yes,Google Ads,1,2022,Jun,30
2025-06-07,Canada,Premium,100,3,12,No,Facebook,1,2025,Jun,7
2021-04-16,United states,Premium,100,3,7,No,LinkedIn,1,2021,Apr,16
2023-06-14,United states,Premium,100,3,6,No,Twitter,2,2023,Jun,14
2021-12-22,United kingdom,Premium,100,2,14,No,Direct,1,2021,Dec,22
2024-05-31,United states,Enterprise,500,4,13,No,Direct,0,2024,May,31
2025-04-15,Nigeria,Enterprise,500,4,8,No,Direct,2,2025,Apr,15
2021-12-27,United states,Free,0,5,8,No,Google Ads,2,2021,Dec,27
2024-01-01,Nigeria,Premium,100,2,10,No,Direct,3,2024,Jan,1
2025-01-06,Germany,Free,0,5,10,No,LinkedIn,1,2025,Jan,6
2020-03-02,United kingdom,Free,0,4,17,No,Google Ads,0,2020,Mar,2
2021-11-10,United kingdom,Basic,50,3,7,No,Referral,2,2021,Nov,10
2023-10-19,United states,Basic,50,2,12,No,Referral,0,2023,Oct,19
2023-02-26,Nigeria,Premium,100,2,11,No,Facebook,2,2023,Feb,26
2023-03-20,United states,Premium,100,5,7,No,Direct,1,2023,Mar,20
2020-08-29,United states,Basic,50,1,11,No,Direct,1,2020,Aug,29
2022-09-03,Germany,Basic,50,2,6,No,Twitter,2,2022,Sep,3
2021-10-24,Canada,Basic,50,2,6,No,Twitter,1,2021,Oct,24
2023-01-31,Canada,Premium,100,1,14,No,Direct,0,2023,Jan,31
2021-02-11,Germany,Premium,100,5,6,No,Direct,0,2021,Feb,11
2023-12-11,Canada,Basic,50,0,16,No,Facebook,0,2023,Dec,11
2022-04-26,Germany,Basic,50,5,10,No,Facebook,1,2022,Apr,26
2021-11-22,United kingdom,Basic,50,2,12,No,Facebook,2,2021,Nov,22
2020-04-14,Nigeria,Basic,50,6,11,No,Direct,1,2020,Apr,14
2025-02-16,United states,Basic,50,2,12,No,Referral,2,2025,Feb,16
2020-07-25,Nigeria,Free,0,2,12,No,Facebook,2,2020,Jul,25
2025-03-26,Nigeria,Premium,100,2,8,No,Twitter,1,2025,Mar,26
2020-03-22,United states,Premium,100,4,9,No,Facebook,0,2020,Mar,22
2024-09-19,Canada,Basic,50,4,10,No,Google Ads,1,2024,Sep,19
2024-06-30,Germany,Basic,50,3,13,No,Google Ads,1,2024,Jun,30
2020-09-17,Canada,Basic,50,2,15,No,Google Ads,2,2020,Sep,17
2022-03-10,Nigeria,Enterprise,500,3,12,No,Referral,1,2022,Mar,10
2022-10-06,Canada,Enterprise,500,3,9,No,Referral,1,2022,Oct,6
2024-01-07,Nigeria,Enterprise,500,5,13,No,Twitter,1,2024,Jan,7
2021-10-30,Nigeria,Basic,50,2,17,Yes,Google Ads,2,2021,Oct,30
2021-07-07,United states,Free,0,3,10,No,Direct,2,2021,Jul,7
2024-04-14,United states,Basic,50,6,10,No,Google Ads,1,2024,Apr,14
2021-07-31,United states,Basic,50,2,7,No,Referral,0,2021,Jul,31
2022-04-05,Nigeria,Premium,100,3,10,No,Direct,1,2022,Apr,5
2020-04-16,Nigeria,Enterprise,500,2,5,No,Twitter,1,2020,Apr,16
2024-05-21,Canada,Premium,100,1,12,No,LinkedIn,1,2024,May,21
2020-10-22,Germany,Enterprise,500,2,7,No,Direct,1,2020,Oct,22
2021-04-06,United states,Enterprise,500,1,14,No,LinkedIn,2,2021,Apr,6
2022-01-28,Nigeria,Basic,50,2,8,No,Twitter,0,2022,Jan,28
2024-08-21,United states,Basic,50,4,12,Yes,Twitter,1,2024,Aug,21
2024-02-18,Germany,Basic,50,2,11,No,Direct,1,2024,Feb,18
2021-04-26,United states,Premium,100,4,12,No,Direct,0,2021,Apr,26
2022-02-11,Canada,Basic,50,3,10,No,LinkedIn,3,2022,Feb,11
2020-11-02,Germany,Basic,50,3,8,Yes,Google Ads,1,2020,Nov,2
2021-04-04,United kingdom,Enterprise,500,0,8,No,Google Ads,2,2021,Apr,4
