customer_id,signup_date,country,plan_type,monthly_revenue,active_users,logins_last_30_days,churned,referral_source,support_tickets
1,2023-04-12,Germany,Pro,-0.48,7,6,0,Direct,2
2,2022-10-13,USA,Basic,12.07,2,7,0,Google Ads,1
3,2022-04-08,USA,,18.1,2,6,0,Google Ads,1
4,2022-07-23,Nigeria,basic,18.85,3,14,0,LinkedIn,4
5,2023-06-28,Canada,,12.15,1,9,0,Twitter,2
6,2024-12-22,UK,basic,19.98,3,10,0,LinkedIn,3
7,2023-07-05,NGA,basic,206.66,4,15,0,Direct,2
8,2023-09-20,CA,Basic,-0.65,2,6,0,,3
9,2020-04-19,Germany,Free,56.31,1,11,0,Direct,0
10,2020-02-25,United States,Free,3.95,4,5,0,Facebook,2
11,2022-06-30,,,4.86,2,5,1,Google Ads,1
12,2025-06-07,Canada,pro,99.68,3,12,0,Facebook,1
13,2021-04-16,,Pro,25.11,3,7,0,LinkedIn,1
14,2023-06-14,USA,Pro,12.72,3,6,0,Twitter,2
15,2021-12-22,United Kingdom,Pro,15.44,2,14,0,Direct,1
16,2024-05-31,,Enterprise,-1.78,4,13,0,,0
17,2025-04-15,NGA,,96.76,4,8,0,,2
18,2021-12-27,United States,Free,13.74,5,8,0,Google Ads,2
19,2024-01-01,Nigeria,pro,47.86,2,10,0,Direct,3
20,2025-01-06,Germany,Free,7.6,5,10,0,LinkedIn,1
21,2020-03-02,UK,Free,3.15,4,17,0,Google Ads,0
22,2021-11-10,UK,basic,37.97,3,7,0,Referral,2
23,2023-10-19,,,14.68,2,12,0,Referral,0
24,2023-02-26,Nigeria,Pro,47.89,2,11,0,Facebook,2
25,2023-03-20,,,94.73,5,7,0,Direct,1
26,2020-08-29,USA,basic,-0.36,1,11,0,,1
27,2022-09-03,Germany,Basic,45.42,2,6,0,Twitter,2
28,2021-10-24,CA,Basic,24.74,2,6,0,,1
29,2023-01-31,CAN,pro,8.36,1,14,0,Direct,0
30,2021-02-11,Germany,,44.89,5,6,0,,0
31,2023-12-11,Canada,basic,97.74,0,16,0,Facebook,0
32,2022-04-26,Germany,Basic,50.38,5,10,0,,1
33,2021-11-22,UK,basic,-1.51,2,12,0,,2
34,2020-04-14,NGA,Basic,0.61,6,11,0,Direct,1
35,2025-02-16,,,101.07,2,12,0,Referral,2
36,2020-07-25,NGA,Free,10.41,2,12,0,Facebook,2
37,2025-03-26,NGA,Pro,10.6,2,8,0,Twitter,1
38,2020-03-22,USA,,11.51,4,9,0,Facebook,0
39,2024-09-19,CAN,basic,15.44,4,10,0,Google Ads,1
40,2024-06-30,Germany,basic,19.81,3,13,0,,1
41,2020-09-17,Canada,,3.13,2,15,0,,2
42,2022-03-10,Nigeria,Enterprise,25.41,3,12,0,Referral,1
43,2022-10-06,Canada,,21.25,3,9,0,Referral,1
44,2024-01-07,NGA,,7.16,5,13,0,Twitter,1
45,2021-10-30,NGA,basic,11.57,2,17,1,Google Ads,2
46,2021-07-07,,Free,22.72,3,10,0,Direct,2
47,2024-04-14,US,basic,19.28,6,10,0,Google Ads,1
48,2021-07-31,,Basic,14.79,2,7,0,Referral,0
49,2022-04-05,NGA,pro,15.44,3,10,0,Direct,1
50,2020-04-16,NGA,Enterprise,46.93,2,5,0,Twitter,1
51,2024-05-21,Canada,pro,-0.85,1,12,0,LinkedIn,1
52,2020-10-22,Germany,Enterprise,20.3,2,7,0,Direct,1
53,2021-04-06,USA,,19.63,1,14,0,LinkedIn,2
54,2022-01-28,Nigeria,Basic,24.69,2,8,0,Twitter,0
55,2024-08-21,US,,15.99,4,12,1,Twitter,1
56,2024-02-18,Germany,Basic,15.64,2,11,0,Direct,1
57,2021-04-26,US,Pro,22.06,4,12,0,,0
58,2022-02-11,CA,Basic,1.52,3,10,0,LinkedIn,3
59,2020-11-02,Germany,basic,17.04,3,8,1,Google Ads,1
60,2021-04-04,UK,Enterprise,18.43,0,8,0,,2
61,2020-02-15,CA,pro,13.27,2,10,0,LinkedIn,2
62,2025-02-28,US,Basic,-1.02,4,13,0,Twitter,1
63,2023-05-20,US,pro,28.08,4,13,0,Facebook,1
64,2021-09-22,US,,14.91,3,7,0,Referral,2
65,2021-01-29,CA,Basic,7.99,6,11,0,Twitter,1
66,2022-06-29,United States,Basic,3.72,0,7,0,Twitter,0
67,2023-08-18,Nigeria,Pro,25.17,2,12,0,Google Ads,2
68,2020-03-11,CAN,,15.22,3,9,0,Facebook,2
69,2021-09-18,Germany,Enterprise,-14.04,4,12,0,Google Ads,3
70,2020-02-12,Nigeria,,0.71,6,12,0,Direct,1
71,2023-04-30,NGA,Free,-8.3,6,19,1,Google Ads,2
72,2020-11-30,Germany,,10.82,1,12,0,Referral,0
73,2020-05-20,United States,pro,2.75,3,7,0,,1
74,2022-12-16,CA,,12.7,3,10,1,LinkedIn,1
75,2023-04-14,UK,Basic,18.7,1,8,0,Google Ads,1
76,2020-03-23,Canada,basic,0.68,6,7,0,Referral,0
77,2024-12-17,US,Free,9.57,7,8,0,,1
78,2025-02-08,Canada,Basic,17.69,4,8,0,Referral,1
79,2022-05-01,Germany,Free,2.9,2,8,0,Referral,0
80,2020-06-29,United Kingdom,Basic,15.98,3,10,1,Referral,1
81,2021-12-09,Germany,basic,1.46,5,10,0,Google Ads,0
82,2020-08-21,,,106.15,1,5,1,Facebook,1
83,2021-08-28,,,11.24,2,9,0,Twitter,0
84,2024-09-02,Germany,,6.75,1,6,1,,2
85,2024-02-17,US,Free,195.46,3,9,0,Referral,0
86,2024-05-11,,,-4.18,0,11,0,Google Ads,1
87,2025-03-18,UK,Basic,-0.84,6,11,0,Google Ads,0
88,2021-03-01,United Kingdom,Pro,12.75,1,14,0,Referral,0
89,2021-04-01,Canada,pro,18.44,1,14,0,Twitter,0
